FUID,Number_of_Occurrences,Platforms,Platform_Count
FUID-BITNA:00344-2933-00,2,"AZURE, GCP",2
FUID-SPECT:02687-8415-00,2,"AWS, AZURE",2
FUID-ACTWI:02688-8416-00,2,AWS,1
FUID-MOGEA:05848-26176-00,2,AWS,1
FUID-HOSST:00723-2924-00,2,"AZURE, GCP",2
FUID-KCLOU:02068-57633-00,2,AZURE,1
FUID-LUMAP:01064-2922-00,2,"AZURE, GCP",2
FUID-KALEI:06250-40304-00,2,"AWS, AZURE",2
FUID-BITNA:00344-2911-00,2,"AZURE, GCP",2
FUID-IRONM:04588-21950-00,2,"AWS, AZURE",2
FUID-UNIFY:08604-35137-00,2,AZURE,1
FUID-PCLOU:00218-61931-00,2,AZURE,1
FUID-ASKFO:01986-53056-10,2,AZURE,1
FUID-MONGO:00639-8471-00,2,AWS,1
FUID-CLOUD:03313-17582-00,2,AWS,1
FUID-SCALE:04690-21901-00,2,"AWS, AZURE",2
FUID-VOLEA:02627-8310-00,2,"AWS, AZURE",2
FUID-IVANT:00455-48936-00,2,AZURE,1
FUID-DIALP:01096-3066-00,2,"AZURE, GCP",2
FUID-HOSST:00723-8313-00,2,"AWS, AZURE",2
FUID-PERSZ:08562-34996-00,2,AZURE,1
FUID-CYWAR:02631-8316-00,2,"AWS, AZURE",2
FUID-FORMO:15248-57763-00,2,AZURE,1
FUID-KCLOU:02068-57539-00,2,AZURE,1
FUID-BCLOU:00337-35079-00,2,AZURE,1
FUID-KCLOU:02068-57665-00,2,AZURE,1
FUID-HOSST:00723-2892-00,2,"AZURE, GCP",2
FUID-RAPID:05477-21938-00,2,"AWS, AZURE",2
FUID-REDHA:01014-8441-00,2,AWS,1
FUID-AUDIO:01178-35161-00,2,AZURE,1
FUID-PCLOU:00218-35163-00,2,AZURE,1
FUID-LITES:01057-2872-00,2,"AWS, GCP",2
FUID-ASANA:09927-40265-00,2,"AWS, AZURE",2
FUID-PCLOU:00218-35170-00,2,AZURE,1
FUID-PCLOU:00218-35171-00,2,AZURE,1
FUID-ESGBO:01055-2863-00,2,"AWS, GCP",2
FUID-PCLOU:00218-35172-00,2,AZURE,1
FUID-SUPER:05016-21922-00,2,AWS,1
FUID-OPENE:08257-57591-15,2,AZURE,1
FUID-OPENE:08257-57590-24.04,2,AZURE,1
FUID-TRANS:07382-30272-00,2,"AWS, AZURE",2
FUID-DATAD:01596-21911-00,2,"AWS, AZURE",2
FUID-PCLOU:00218-35194-00,2,AZURE,1
FUID-RIVER:02740-17579-flexvnf,2,"AWS, AZURE",2
FUID-HOSST:00723-29955-00,2,"AWS, AZURE",2
FUID-PCLOU:00218-26820-00,2,AZURE,1
FUID-BANSI:02130-35855-11,2,AZURE,1
FUID-TABLE:05951-35857-00,2,AZURE,1
FUID-HTCD:07271-29749-00,2,"AWS, AZURE",2
FUID-BRAND:06372-26695-00,2,AZURE,1
